--ICPC-2n DAT bl 154b file with filename: c:\ICPC-2n-v40-DATTXT_CSV.txt
--(Interncode: V403e) V01-2008-09-22(2008-09-25 12:01:58.603)
--This file is generated by KITH AS  Norway Dr.Terje Sagen 2008-09-25 12:02:59.040
--This file can be downloaded from http://www.kith.no/ICPC2e
--It contains 740 rows
--Columns: ICPC2_Code,Title,Shorttitle,Icd10_DATCODE,Icd10_DATTEXT,ICD_DATCODE_DATTEXT
"F99","Øyesykdom IKA","Øyesykdom IKA","H578","Andre spesifiserte sykdommer i øyet og øyets omgivelser","H578 Andre spesifiserte sykdommer i øyet og øyets omgivelser"
"H01","Øresmerte/øreverk","Øresmerte/øreverk","H920","Øreverk","H920 Øreverk"
"H02","Hørsel symptomer/plager","Hørsel symptomer/plager","H919","Uspesifisert hørselstap","H919 Uspesifisert hørselstap"
"H02","Hørsel symptomer/plager","Hørsel symptomer/plager","H932","Annen unormal lydoppfatning","H932 Annen unormal lydoppfatning"
"H03","Øresus","Øresus","H931","Øresus","H931 Øresus"
"H04","Øreflod/sekresjon","Øreflod/sekresjon","H921","Øreflod","H921 Øreflod"
"H05","Blødning øre","Blødning øre","H922","Øreblødning","H922 Øreblødning"
"H13","Øreplugg/øretetthet","Øreplugg/øretetthet","H938","Andre spesifiserte lidelser i øre","H938 Andre spesifiserte lidelser i øre"
"H15","Bekymret/opptatt av ørenes utseende","Bekymret/opptatt av ørenes utseende","R468","Andre spesifiserte symptomer og tegn med tilknytning til utseende og atferd","R468 Andre spesifiserte symptomer og tegn med tilknytning til utseende og atferd"
"H27","Engstelig for hørselsproblemer/øresykdom","Engstelig for øresykdom","Z711","Frykt for lidelse der ingen diagnose er stilt","Z711 Frykt for lidelse der ingen diagnose er stilt"
"H28","Redusert funksjonsevne pga øreproblem","Redusert funksjonsevne pga øreprobl","Z736","Begrensning i aktiviteter grunnet uførhet","Z736 Begrensning i aktiviteter grunnet uførhet"
"H29","Øre symptomer/plager IKA","Øre symptomer/plager IKA","H939","Uspesifisert lidelse i øre","H939 Uspesifisert lidelse i øre"
"H70","Ytre øre betennelse","Ytre øre betennelse","H609","Uspesifisert betennelse i ytre øre","H609 Uspesifisert betennelse i ytre øre"
"H71","Mellomørebetennelse akutt","Mellomørebetennelse akutt","H660","Akutt purulent mellomørebetennelse","H660 Akutt purulent mellomørebetennelse"
"H72","Mellomørebetennelse serøs","Mellomørebetennelse serøs","H659","Uspesifisert ikke-purulent mellomørebetennelse","H659 Uspesifisert ikke-purulent mellomørebetennelse"
"H73","Tuba auditiva betennelse","Tuba auditiva betennelse","H681","Obstruksjon av tuba auditiva","H681 Obstruksjon av tuba auditiva"
"H74","Mellomørebetennelse kronisk","Mellomørebetennelse kronisk","H663","Annen kronisk purulent mellomørebetennelse","H663 Annen kronisk purulent mellomørebetennelse"
"H75","Svulst i øre","Svulst øre","C442","Ondartet svulst i hud på øre og i ytre øregang","C442 Ondartet svulst i hud på øre og i ytre øregang"
"H75","Svulst i øre","Svulst øre","D232","Godartet svulst i hud på øre og i ytre øregang","D232 Godartet svulst i hud på øre og i ytre øregang"
"H76","Fremmedlegeme i øre","Fremmedlegeme øre","T16","Fremmedlegeme i øre","T16 Fremmedlegeme i øre"
"H77","Perforert trommehinne IKA","Perforert trommehinne IKA","H729","Uspesifisert perforasjon i trommehinne","H729 Uspesifisert perforasjon i trommehinne"
"H78","Overflateskade på ytre øre","Overflateskade ytre øre","S004","Overflateskade på øre","S004 Overflateskade på øre"
"H79","Skade øre IKA","Skade øre IKA","S099","Uspesifisert hodeskade","S099 Uspesifisert hodeskade"
"H79","Skade øre IKA","Skade øre IKA","T700","Otittisk barotraume","T700 Otittisk barotraume"
"H80","Medfødt feil i øre","Medfødt feil øre","Q179","Uspesifisert medfødt øremisdannelse","Q179 Uspesifisert medfødt øremisdannelse"
"H81","Ørevoks","Ørevoks","H612","Vokspropp","H612 Vokspropp"
"H82","Svimmelhetssyndrom","Svimmelhetssyndrom","H819","Uspesifisert forstyrrelse i vestibularisfunksjonen","H819 Uspesifisert forstyrrelse i vestibularisfunksjonen"
"H83","Otosklerose","Otosklerose","H809","Uspesifisert otosklerose","H809 Uspesifisert otosklerose"
"H84","Hørselstap aldersbetinget","Hørselstap aldersbetinget","H911","Alderdomstunghørthet","H911 Alderdomstunghørthet"
"H85","Hørselstap pga støyskade","Hørselstap støyskade","H833","Virkninger av støy på indre øre","H833 Virkninger av støy på indre øre"
"H86","Døvhet/hørselstap IKA","Døvhet/hørselstap IKA","H919","Uspesifisert hørselstap","H919 Uspesifisert hørselstap"
"H99","Øresykdom IKA","Øresykdom IKA","H938","Andre spesifiserte lidelser i øre","H938 Andre spesifiserte lidelser i øre"
"K01","Smerte relatert til hjertet","Smerte relatert til hjertet","R072","Prekordial smerte","R072 Prekordial smerte"
"K02","Trykk/sammensnøring hjertet","Trykk/sammensnøring hjertet","R072","Prekordial smerte","R072 Prekordial smerte"
"K03","Smerte relatert til kretsløpet IKA","Smerte relatert til kretsløpet IKA","R098","Andre spesifiserte symptomer og tegn med tilknytning til sirkulasjons- og åndedrettssystemet","R098 Andre spesifiserte symptomer og tegn med tilknytning til sirkulasjons- og åndedrettssystemet"
"K04","Hjertebank","Hjertebank","R000","Uspesifisert takykardi","R000 Uspesifisert takykardi"
"K04","Hjertebank","Hjertebank","R002","Palpitasjon","R002 Palpitasjon"
"K05","Uregelmessige hjerteslag IKA","Uregelmessige hjerteslag IKA","R008","Andre og uspesifiserte unormale hjerteslag","R008 Andre og uspesifiserte unormale hjerteslag"
"K06","Utvidede vener","Utvidede vener","I878","Andre spesifiserte forstyrrelser i vener","I878 Andre spesifiserte forstyrrelser i vener"
"K07","Hovne ankler/ødem","Hovne ankler/ødem","R609","Uspesifisert ødem","R609 Uspesifisert ødem"
"K22","Økt risiko for hjerte-karsykdom","Økt risiko for hjerte-karsykdom","Z824","Opplysning om iskemisk hjertesykdom og andre sykdommer i sirkulasjonssystemet i familieanamnesen","Z824 Opplysning om iskemisk hjertesykdom og andre sykdommer i sirkulasjonssystemet i familieanamnesen"
"K24","Engstelig for hjertesykdom","Engstelig for hjertesykdom","Z711","Frykt for lidelse der ingen diagnose er stilt","Z711 Frykt for lidelse der ingen diagnose er stilt"
"K25","Engstelig for høyt blodtrykk","Engstelig for høyt blodtrykk","Z711","Frykt for lidelse der ingen diagnose er stilt","Z711 Frykt for lidelse der ingen diagnose er stilt"
"K27","Engstelig for hjerte-karsykdom IKA","Engstelig for hjerte-karsykdom IKA","Z711","Frykt for lidelse der ingen diagnose er stilt","Z711 Frykt for lidelse der ingen diagnose er stilt"
"K28","Redusert funksjonsevne pga hjerte-karproblem","Redus funksjonsevne hjerte-karprobl","Z736","Begrensning i aktiviteter grunnet uførhet","Z736 Begrensning i aktiviteter grunnet uførhet"
"K29","Hjerte-karsystemet symptomer/plager IKA","Hjerte-karsyst symptomer/plager IKA","R098","Andre spesifiserte symptomer og tegn med tilknytning til sirkulasjons- og åndedrettssystemet","R098 Andre spesifiserte symptomer og tegn med tilknytning til sirkulasjons- og åndedrettssystemet"
"K70","Infeksjon i hjerte-karsystemet","Infeksjon hjerte-karsystemet","I409","Uspesifisert akutt myokarditt","I409 Uspesifisert akutt myokarditt"
"K71","Reumatisk feber/hjertesykdom","Reumatisk feber/hjertesykdom","I099","Uspesifisert reumatisk hjertesykdom","I099 Uspesifisert reumatisk hjertesykdom"
"K72","Svulst i hjerte","Svulst i hjerte","D487","Andre spesifiserte lokalisasjoner","D487 Andre spesifiserte lokalisasjoner"
"K73","Medfødt feil i hjerte-karsystemet","Medfødt feil hjerte-karsystemet","Q289","Uspesifisert medfødt misdannelse i sirkulasjonssystemet","Q289 Uspesifisert medfødt misdannelse i sirkulasjonssystemet"
"K74","Iskemisk hjertesykdom med angina pectoris","Iskemisk hjertesykdom med angina","I209","Uspesifisert angina pectoris","I209 Uspesifisert angina pectoris"
"K75","Akutt hjerteinfarkt","Akutt hjerteinfarkt","I219","Uspesifisert akutt hjerteinfarkt, 1. gang","I219 Uspesifisert akutt hjerteinfarkt, 1. gang"
"K76","Iskemisk hjertesykdom kronisk IKA","Iskemisk hjertesykdom kronisk IKA","I259","Uspesifisert kronisk iskemisk hjertesykdom","I259 Uspesifisert kronisk iskemisk hjertesykdom"
"K77","Hjertesvikt","Hjertesvikt","I509","Uspesifisert hjertesvikt","I509 Uspesifisert hjertesvikt"
"K78","Atrieflimmer/flutter","Atrieflimmer/flutter","I48","Atrieflimmer og atrieflutter","I48 Atrieflimmer og atrieflutter"
"K79","Paroksysmal takykardi","Paroksysmal takykardi","I479","Uspesifisert paroksysmal takykardi","I479 Uspesifisert paroksysmal takykardi"
"K80","Hjertearytmi IKA","Hjertearytmi IKA","I499","Uspesifisert hjertearytmi","I499 Uspesifisert hjertearytmi"
"K81","Bilyd hjerte/arterier IKA","Bilyd hjerte/arterier IKA","R011","Uspesifisert bilyd","R011 Uspesifisert bilyd"
"K82","Pulmonal hjertesykdom","Pulmonal hjertesykdom","I279","Uspesifisert pulmonal hjertesykdom","I279 Uspesifisert pulmonal hjertesykdom"
"K83","Hjerteklaffesykdom IKA","Hjerteklaffesykdom IKA","I089","Uspesifisert affeksjon av flere klaffer","I089 Uspesifisert affeksjon av flere klaffer"
"K84","Hjertesykdom IKA","Hjertesykdom IKA","I519","Uspesifisert hjertesykdom","I519 Uspesifisert hjertesykdom"
"K85","Forhøyet blodtrykk IKA","Forhøyet blodtrykk IKA","R030","Forhøyet blodtrykksmåling, uten hypertensjonsdiagnose","R030 Forhøyet blodtrykksmåling, uten hypertensjonsdiagnose"
"K86","Hypertensjon ukomplisert","Hypertensjon ukomplisert","I10","Essensiell (primær) hypertensjon","I10 Essensiell (primær) hypertensjon"
"K87","Hypertensjon med organkomplikasjoner","Hypertensjon med komplikasjoner","I139","Uspesifisert hypertensiv hjerte- og nyresykdom","I139 Uspesifisert hypertensiv hjerte- og nyresykdom"
"K88","Postural hypotensjon","Postural hypotensjon","I951","Ortostatisk hypotensjon","I951 Ortostatisk hypotensjon"
"K89","Anfall med forbigående cerebral iskemi","Forbigående cerebral iskemi","G459","Uspesifisert forbigående cerebralt iskemisk anfall","G459 Uspesifisert forbigående cerebralt iskemisk anfall"
"K90","Hjerneslag","Hjerneslag","I64","Hjerneslag, ikke spesifisert som blødning eller infarkt","I64 Hjerneslag, ikke spesifisert som blødning eller infarkt"
"K91","Cerebrovaskulær sykdom","Cerebrovaskulær sykdom","I679","Uspesifisert hjernekarsykdom","I679 Uspesifisert hjernekarsykdom"
"K92","Aterosklerose/perifer karsykdom","Aterosklerose/perifer karsykdom","I739","Uspesifisert sykdom i perifere kar","I739 Uspesifisert sykdom i perifere kar"
"K93","Lungeemboli","Lungeemboli","I269","Lungeemboli uten opplysning om akutt cor pulmonale","I269 Lungeemboli uten opplysning om akutt cor pulmonale"
"K94","Årebetennelse","Årebetennelse","I809","Flebitt og tromboflebitt med uspesifisert lokalisasjon","I809 Flebitt og tromboflebitt med uspesifisert lokalisasjon"
"K95","Åreknuter på underekstremitet","Åreknuter underekstremitet","I839","Åreknuter i underekstremiteter uten ulcus eller betennelse","I839 Åreknuter i underekstremiteter uten ulcus eller betennelse"
"K96","Hemoroider","Hemoroider","I849","Uspesifiserte hemoroider uten komplikasjoner","I849 Uspesifiserte hemoroider uten komplikasjoner"
"K99","Hjerte-karsykdom IKA","Hjerte-karsykdom IKA","I99","Andre og uspesifiserte forstyrrelser i sirkulasjonssystemet","I99 Andre og uspesifiserte forstyrrelser i sirkulasjonssystemet"
"L01","Nakke symptomer/plager","Nakke symptomer/plager","M542","Nakkesmerte","M542 Nakkesmerte"
"L02","Rygg symptomer/plager","Rygg symptomer/plager","M549","Uspesifisert ryggsmerte","M549 Uspesifisert ryggsmerte"
"L03","Korsrygg symptomer/plager","Korsrygg symptomer/plager","M545","Lumbago","M545 Lumbago"
"L04","Brystkasse symptomer/plager","Brystkasse symptomer/plager","R298","Andre og uspesifiserte symptomer og tegn med tilknytning til nervesystemet og muskel-skjelettsystemet","R298 Andre og uspesifiserte symptomer og tegn med tilknytning til nervesystemet og muskel-skjelettsystemet"
"L05","Flanke/armhule symptomer/plager","Flanke/armhule symptomer/plager","R298","Andre og uspesifiserte symptomer og tegn med tilknytning til nervesystemet og muskel-skjelettsystemet","R298 Andre og uspesifiserte symptomer og tegn med tilknytning til nervesystemet og muskel-skjelettsystemet"
"L07","Kjeve symptomer/plager","Kjeve symptomer/plager","M255","Leddsmerte","M255 Leddsmerte"
"L08","Skulder symptomer/plager","Skulder symptomer/plager","M255","Leddsmerte","M255 Leddsmerte"
"L09","Arm symptomer/plager","Arm symptomer/plager","M796","Smerte i ekstremitet","M796 Smerte i ekstremitet"
"L10","Albue symptomer/plager","Albue symptomer/plager","M255","Leddsmerte","M255 Leddsmerte"
"L11","Håndledd symptomer/plager","Håndledd symptomer/plager","M255","Leddsmerte","M255 Leddsmerte"
"L12","Hånd/finger symptomer/plager","Hånd/finger symptomer/plager","M796","Smerte i ekstremitet","M796 Smerte i ekstremitet"
"L13","Hofte symptomer/plager","Hofte symptomer/plager","M255","Leddsmerte","M255 Leddsmerte"
"L14","Legg/lår symptomer/plager","Legg/lår symptomer/plager","M796","Smerte i ekstremitet","M796 Smerte i ekstremitet"
"L15","Kne symptomer/plager","Kne symptomer/plager","M255","Leddsmerte","M255 Leddsmerte"
"L16","Ankel symptomer/plager","Ankel symptomer/plager","M255","Leddsmerte","M255 Leddsmerte"
"L17","Fot/tå symptomer/plager","Fot/tå symptomer/plager","M796","Smerte i ekstremitet","M796 Smerte i ekstremitet"
"L18","Utbredte muskelsmerter/fibromyalgi","Utbredte muskelsmerter/fibromyalgi","M790","Uspesifisert reumatisme","M790 Uspesifisert reumatisme"
"L19","Muskel symptomer/plager IKA","Muskel symptomer/plager IKA","M799","Uspesifisert bløtvevssykdom","M799 Uspesifisert bløtvevssykdom"
"L20","Ledd symptomer/plager IKA","Ledd symptomer/plager IKA","M259","Uspesifisert leddtilstand","M259 Uspesifisert leddtilstand"
"L26","Engstelig for kreft i muskel- og skjelettsystemet","Engstelig for kreft muskel-skj-syst","Z711","Frykt for lidelse der ingen diagnose er stilt","Z711 Frykt for lidelse der ingen diagnose er stilt"
"L27","Engstelig for sykdom i muskel- og skjelettsystemet IKA","Engstelig for sykd musk-skj-syst IKA","Z711","Frykt for lidelse der ingen diagnose er stilt","Z711 Frykt for lidelse der ingen diagnose er stilt"
"L28","Redusert funksjonsevne pga muskel-skjelettproblem","Redus funksjonsevne musk-skj-probl","Z736","Begrensning i aktiviteter grunnet uførhet","Z736 Begrensning i aktiviteter grunnet uførhet"
"L29","Muskel- og skjelettsystemet symptomer/plager IKA","Muskel-skj-syst sympt/plager IKA","R298","Andre og uspesifiserte symptomer og tegn med tilknytning til nervesystemet og muskel-skjelettsystemet","R298 Andre og uspesifiserte symptomer og tegn med tilknytning til nervesystemet og muskel-skjelettsystemet"
"L70","Infeksjon i muskel- og skjelettsystemet","Infeksjon muskel-skjelettsystemet","M009","Uspesifisert pyogen artritt","M009 Uspesifisert pyogen artritt"
"L70","Infeksjon i muskel- og skjelettsystemet","Infeksjon muskel-skjelettsystemet","M600","Infeksiøs myositt","M600 Infeksiøs myositt"
"L70","Infeksjon i muskel- og skjelettsystemet","Infeksjon muskel-skjelettsystemet","M651","Annen infeksiøs tenosynovitt","M651 Annen infeksiøs tenosynovitt"
"L70","Infeksjon i muskel- og skjelettsystemet","Infeksjon muskel-skjelettsystemet","M711","Annen infeksiøs bursitt","M711 Annen infeksiøs bursitt"
"L70","Infeksjon i muskel- og skjelettsystemet","Infeksjon muskel-skjelettsystemet","M869","Uspesifisert osteomyelitt","M869 Uspesifisert osteomyelitt"
"L71","Ondartet svulst i muskel- og skjelettsystemet","Ondartet svulst muskel-skj-syst","C419","Knokler og leddbrusk, uspesifisert","C419 Knokler og leddbrusk, uspesifisert"
"L72","Brudd underarm","Brudd underarm","S529","Brudd i underarm, uspesifisert del","S529 Brudd i underarm, uspesifisert del"
"L73","Brudd legg/ankel","Brudd legg/ankel","S829","Brudd i legg, uspesifisert del","S829 Brudd i legg, uspesifisert del"
"L74","Brudd hånd/fot","Brudd hånd/fot","S628","Brudd i andre og uspesifiserte deler av håndledd og hånd","S628 Brudd i andre og uspesifiserte deler av håndledd og hånd"
"L75","Brudd lårben/lårhals","Brudd lårben/lårhals","S729","Brudd i lårben, uspesifisert del","S729 Brudd i lårben, uspesifisert del"
"L76","Brudd IKA","Brudd IKA","S129","Brudd i halsregionen, uspesifisert del","S129 Brudd i halsregionen, uspesifisert del"
"L76","Brudd IKA","Brudd IKA","S229","Brudd i skjelett i brystkasse, uspesifisert ben","S229 Brudd i skjelett i brystkasse, uspesifisert ben"
"L76","Brudd IKA","Brudd IKA","S328","Brudd i andre og uspes. deler av lumbalkolumna og bekken","S328 Brudd i andre og uspes. deler av lumbalkolumna og bekken"
"L76","Brudd IKA","Brudd IKA","T08","Brudd i ryggsøyle, uspesifisert del","T08 Brudd i ryggsøyle, uspesifisert del"
"L76","Brudd IKA","Brudd IKA","T10","Brudd i overekstremitet, uspesifisert del","T10 Brudd i overekstremitet, uspesifisert del"
"L76","Brudd IKA","Brudd IKA","T12","Brudd i underekstremitet, uspesifisert del","T12 Brudd i underekstremitet, uspesifisert del"
"L76","Brudd IKA","Brudd IKA","T142","Brudd i uspesifisert kroppsregion","T142 Brudd i uspesifisert kroppsregion"
"L77","Forstuving/forstrekking ankel","Forstuving/forstrekking ankel","S934","Forstuving og forstrekking av ankelligament","S934 Forstuving og forstrekking av ankelligament"
"L78","Forstuving/forstrekking kne","Forstuving/forstrekking kne","S836","Forstuving, ruptur og forstrekking av andre og uspesifiserte deler av kne","S836 Forstuving, ruptur og forstrekking av andre og uspesifiserte deler av kne"
"L79","Forstuving/forstrekking ledd IKA","Forstuving/forstrekking ledd IKA","T143","Dislokasjon, forstuving og forstrekking i uspesifisert kroppsregion","T143 Dislokasjon, forstuving og forstrekking i uspesifisert kroppsregion"
"L80","Dislokasjon/subluksasjon","Dislokasjon/subluksasjon","T143","Dislokasjon, forstuving og forstrekking i uspesifisert kroppsregion","T143 Dislokasjon, forstuving og forstrekking i uspesifisert kroppsregion"
"L81","Skade i muskel- og skjelettsystemet IKA","Skade muskel-skj-syst IKA","T146","Skade på sener og muskler i uspesifisert kroppsregion","T146 Skade på sener og muskler i uspesifisert kroppsregion"
"L82","Medfødt feil i muskel- og skjelettsystemet","Medfødt feil muskel-skj-syst","Q799","Uspesifisert medfødt misdannelse i muskel-skjelettsystem","Q799 Uspesifisert medfødt misdannelse i muskel-skjelettsystem"
"L83","Nakkesyndrom","Nakkesyndrom","M436","Torticollis","M436 Torticollis"
"L83","Nakkesyndrom","Nakkesyndrom","M479","Uspesifisert spondylose","M479 Uspesifisert spondylose"
"L83","Nakkesyndrom","Nakkesyndrom","M480","Spinal stenose","M480 Spinal stenose"
"L83","Nakkesyndrom","Nakkesyndrom","M489","Uspesifisert lidelse i ryggsøylen","M489 Uspesifisert lidelse i ryggsøylen"
"L83","Nakkesyndrom","Nakkesyndrom","M501","Lidelse i cervikalskive, med radikulopati","M501 Lidelse i cervikalskive, med radikulopati"
"L83","Nakkesyndrom","Nakkesyndrom","M531","Cervikobrakialt syndrom","M531 Cervikobrakialt syndrom"
"L84","Ryggsyndrom uten smerteutstråling","Ryggsyndrom uten smerteutstråling","M545","Lumbago","M545 Lumbago"
"L85","Ervervet deformitet av ryggsøylen","Ervervet deformitet ryggsøyle","M439","Uspesifisert deformerende rygglidelse","M439 Uspesifisert deformerende rygglidelse"
"L86","Ryggsyndrom med smerteutstråling","Ryggsyndrom med smerteutstråling","M543","Isjialgi","M543 Isjialgi"
"L87","Bursitt/tendinitt/synovitt IKA","Bursitt/tendinitt/synovitt IKA","M658","Annen spesifisert synovitt og tenosynovitt","M658 Annen spesifisert synovitt og tenosynovitt"
"L87","Bursitt/tendinitt/synovitt IKA","Bursitt/tendinitt/synovitt IKA","M709","Uspes. bløtvevssykdom etter bruk, overbelastning og trykk","M709 Uspes. bløtvevssykdom etter bruk, overbelastning og trykk"
"L87","Bursitt/tendinitt/synovitt IKA","Bursitt/tendinitt/synovitt IKA","M715","Annen bursitt, ikke klassifisert annet sted","M715 Annen bursitt, ikke klassifisert annet sted"
"L87","Bursitt/tendinitt/synovitt IKA","Bursitt/tendinitt/synovitt IKA","M719","Uspesifisert lidelse i slimpose","M719 Uspesifisert lidelse i slimpose"
"L87","Bursitt/tendinitt/synovitt IKA","Bursitt/tendinitt/synovitt IKA","M729","Uspesifisert sykdom i fascier og annet fibrøst vev","M729 Uspesifisert sykdom i fascier og annet fibrøst vev"
"L87","Bursitt/tendinitt/synovitt IKA","Bursitt/tendinitt/synovitt IKA","M766","Akillestendinitt","M766 Akillestendinitt"
"L87","Bursitt/tendinitt/synovitt IKA","Bursitt/tendinitt/synovitt IKA","M770","Medial epikondylitt","M770 Medial epikondylitt"
"L87","Bursitt/tendinitt/synovitt IKA","Bursitt/tendinitt/synovitt IKA","M779","Uspesifisert entesopati","M779 Uspesifisert entesopati"
"L88","Reumatoid artritt/reumatisk sykdom","Reumatoid artritt/reumatisk sykdom","M069","Uspesifisert reumatoid artritt","M069 Uspesifisert reumatoid artritt"
"L89","Hofteleddsartrose","Hofteleddsartrose","M169","Uspesifisert hofteleddsartrose","M169 Uspesifisert hofteleddsartrose"
"L90","Kneleddsartrose","Kneleddsartrose","M179","Uspesifisert kneleddsartrose","M179 Uspesifisert kneleddsartrose"
"L91","Artrose IKA","Artrose IKA","M199","Uspesifisert artrose","M199 Uspesifisert artrose"
"L92","Skuldersyndrom","Skuldersyndrom","M759","Uspesifisert skulderlidelse","M759 Uspesifisert skulderlidelse"
"L93","Tennisalbue/lateral epikondylitt","Tennisalbue/lateral epikondylitt","M771","Lateral epikondylitt","M771 Lateral epikondylitt"
"L94","Osteokondrose","Osteokondrose","M939","Uspesifisert osteokondropati","M939 Uspesifisert osteokondropati"
"L95","Osteoporose","Osteoporose","M819","Uspesifisert osteoporose","M819 Uspesifisert osteoporose"
"L96","Akutt indre kneskade","Akutt indre kneskade","S832","Fersk skade i menisk","S832 Fersk skade i menisk"
"L97","Godartet/uspesifisert svulst i muskel- og skjelettsystemet","Godartet/uspes svulst musk-skj-syst","D481","Svulst med usikkert eller ukjent malignitets i bindevev og annet bløtvev","D481 Svulst med usikkert eller ukjent malignitets i bindevev og annet bløtvev"
"L98","Ervervet deformitet av ekstremitet","Ervervet deformitet ekstremitet","M219","Uspesifisert ervervet deformitet i ekstremitet","M219 Uspesifisert ervervet deformitet i ekstremitet"
"L99","Muskel- og skjelettsykdom IKA","Muskel-skjelettsykdom IKA","M999","Uspesifisert biomekanisk lesjon","M999 Uspesifisert biomekanisk lesjon"
"N01","Hodepine","Hodepine","R51","Hodepine","R51 Hodepine"
"N03","Ansiktssmerte","Ansiktssmerte","G501","Atypisk ansiktssmerte","G501 Atypisk ansiktssmerte"
"N04","Restless legs","Restless legs","G258","Andre spesifiserte ekstrapyramidale tilstander og bevegelsesforstyrrelser","G258 Andre spesifiserte ekstrapyramidale tilstander og bevegelsesforstyrrelser"
"N05","Prikking/parestesi i hender/føtter","Prikking/parestesi i hender/føtter","R202","Parestesi i hud","R202 Parestesi i hud"
"N06","Forstyrrelser i hudens følsomhet IKA","Forstyrrelser i hudens følsomhet IKA","R208","Andre og uspesifiserte forstyrrelser i hudens følsomhet","R208 Andre og uspesifiserte forstyrrelser i hudens følsomhet"
"N07","Krampeanfall/kramper","Krampeanfall/kramper","R568","Andre og uspesifiserte kramper","R568 Andre og uspesifiserte kramper"
"N08","Unormale/ufrivillige bevegelser","Unormale/ufrivillige bevegelser","R259","Andre og uspesifiserte unormale ufrivillige bevegelser","R259 Andre og uspesifiserte unormale ufrivillige bevegelser"
"N16","Forstyrrelse i lukt/smak","Forstyrrelse i lukt/smak","R438","Andre og uspesifiserte forstyrrelser i lukt og smak","R438 Andre og uspesifiserte forstyrrelser i lukt og smak"
"N17","Svimmelhet IKA","Svimmelhet IKA","R42","Svimmelhet","R42 Svimmelhet"
"N18","Lammelse/svakhet","Lammelse/svakhet","G98","Andre lidelser i nervesystemet, ikke klassifisert annet sted","G98 Andre lidelser i nervesystemet, ikke klassifisert annet sted"
"N19","Talevansker","Talevansker","R478","Andre og uspesifiserte taleforstyrrelser","R478 Andre og uspesifiserte taleforstyrrelser"
"N26","Engstelig for kreft i nervesystemet","Engstelig for kreft nervesystemet","Z711","Frykt for lidelse der ingen diagnose er stilt","Z711 Frykt for lidelse der ingen diagnose er stilt"
"N27","Engstelig for sykdom i nervesystemet IKA","Engstelig for sykdom nervesyst IKA","Z711","Frykt for lidelse der ingen diagnose er stilt","Z711 Frykt for lidelse der ingen diagnose er stilt"
"N28","Redusert funksjonsevne pga problem i nervesystemet","Redus funksjonsevne probl nervesyst","Z736","Begrensning i aktiviteter grunnet uførhet","Z736 Begrensning i aktiviteter grunnet uførhet"
"N29","Nervesystemet symptomer/plager IKA","Nervesystem symptomer/plager IKA","R298","Andre og uspesifiserte symptomer og tegn med tilknytning til nervesystemet og muskel-skjelettsystemet","R298 Andre og uspesifiserte symptomer og tegn med tilknytning til nervesystemet og muskel-skjelettsystemet"
"N70","Poliomyelitt","Poliomyelitt","A809","Uspesifisert akutt poliomyelitt","A809 Uspesifisert akutt poliomyelitt"
"N71","Meningitt/encefalitt","Meningitt/encefalitt","G039","Uspesifisert meningitt","G039 Uspesifisert meningitt"
"N72","Stivkrampe","Stivkrampe","A35","Annen stivkrampe (tetanus)","A35 Annen stivkrampe (tetanus)"
"N73","Infeksjon i sentralnervesystemet IKA","Infeksjon sentralnervesyst IKA","A89","Uspesifisert virusinfeksjon i sentralnervesystemet","A89 Uspesifisert virusinfeksjon i sentralnervesystemet"
"N74","Ondartet svulst i nervesystemet","Ondartet svulst nervesystemet","C729","Sentralnervesystemet, uspesifisert","C729 Sentralnervesystemet, uspesifisert"
"N75","Godartet svulst i nervesystemet","Godartet svulst nervesystemet","D339","Sentralnervesystemet, uspesifisert","D339 Sentralnervesystemet, uspesifisert"
"N76","Uspesifisert svulst i nervesystemet","Uspesifisert svulst nervesystemet","D439","Sentralnervesystemet, uspesifisert","D439 Sentralnervesystemet, uspesifisert"
"N79","Hjernerystelse","Hjernerystelse","S060","Hjernerystelse","S060 Hjernerystelse"
"N80","Hodeskade IKA","Hodeskade IKA","S069","Uspesifisert intrakraniell skade","S069 Uspesifisert intrakraniell skade"
"N81","Skade i nervesystemet IKA","Skade nervesystemet IKA","T144","Skade på nerve(r) i uspesifisert kroppsregion","T144 Skade på nerve(r) i uspesifisert kroppsregion"
"N85","Medfødt feil i nervesystemet","Medfødt feil nervesystemet","Q079","Uspesifisert medfødt misdannelse i nervesystemet","Q079 Uspesifisert medfødt misdannelse i nervesystemet"
"N86","Multippel sklerose","Multippel sklerose","G35","Multippel sklerose","G35 Multippel sklerose"
"N87","Parkinsonisme","Parkinsonisme","G20","Parkinsons sykdom","G20 Parkinsons sykdom"
"N88","Epilepsi","Epilepsi","G409","Uspesifisert epilepsi","G409 Uspesifisert epilepsi"
"N89","Migrene","Migrene","G439","Uspesifisert migrene","G439 Uspesifisert migrene"
"N90","Cluster-hodepine","Cluster-hodepine","G440","Cluster-hodepinesyndrom","G440 Cluster-hodepinesyndrom"
"N91","Facialisparese","Facialisparese","G510","Bells parese","G510 Bells parese"
"N92","Trigeminusnevralgi","Trigeminusnevralgi","G500","Trigeminusnevralgi","G500 Trigeminusnevralgi"
"N93","Carpal tunnel syndrom","Carpal tunnel syndrom","G560",""Carpal tunnel syndrome"","G560 "Carpal tunnel syndrome""
